Entry	Entry Name	Protein families
A0A7G3VBV4	A0A7G3VBV4_ORBAN	Heme-copper respiratory oxidase family
A0A8B6XJB0	A0A8B6XJB0_HYDVU	TMEM134/TMEM230 family
A0AAD9QKV0	A0AAD9QKV0_ACRCE	MoaD family, MOCS2A subfamily
A6MEX3	A6MEX3_IRISP	Heme-copper respiratory oxidase family
A7RMN1	KV51_NEMVE	Sea anemone type 5 potassium channel toxin family
A7S403	A7S403_NEMVE	ENY2 family
A7SRR3	SHKL2_NEMVE	
A7SYS8	A7SYS8_NEMVE	
A7TC96	A7TC96_NEMVE	Hexokinase family
A9U9B9	A9U9B9_9CNID	Heme-copper respiratory oxidase family
A9U9C3	A9U9C3_9CNID	Heme-copper respiratory oxidase family
A9U9D6	A9U9D6_9CNID	Heme-copper respiratory oxidase family
B2C8C5	B2C8C5_9CNID	Heme-copper respiratory oxidase family
B2C8C6	B2C8C6_9CNID	Heme-copper respiratory oxidase family
B2C8C7	B2C8C7_9CNID	Heme-copper respiratory oxidase family
B2C8C8	B2C8C8_9CNID	Heme-copper respiratory oxidase family
B2C8D0	B2C8D0_9CNID	Heme-copper respiratory oxidase family
B2C8D4	B2C8D4_9CNID	Heme-copper respiratory oxidase family
B2C8D9	B2C8D9_9CNID	Heme-copper respiratory oxidase family
B3EWF9	BDS3_ANTEL	Sea anemone type 3 (BDS) potassium channel toxin family
B8PZZ0	B8PZZ0_9CNID	Heme-copper respiratory oxidase family
B8PZZ3	B8PZZ3_9CNID	Heme-copper respiratory oxidase family
B8PZZ8	B8PZZ8_9CNID	Heme-copper respiratory oxidase family
B8PZZ9	B8PZZ9_9CNID	Heme-copper respiratory oxidase family
B8Q004	B8Q004_9CNID	Heme-copper respiratory oxidase family
B8Q021	B8Q021_9CNID	Heme-copper respiratory oxidase family
B8Q024	B8Q024_9CNID	Heme-copper respiratory oxidase family
C0H692	SCR3_ACRMI	Cnidaria small cysteine-rich protein (SCRiP) family
C0HJB1	TXPM1_PHYCF	
C0HJB4	SHT1_HOMDU	
C0HK71	IAA1_HETMG	Sea anemone alpha-amylase inhibitor family
C0HK72	3API_HETMG	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HK73	3BPI_HETMG	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HK74	3CPI_HETMG	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
C0HK75	TXPM2_PHYCF	Sea anemone type 3 (BDS) potassium channel toxin family
C0HL40	BDS4_ANTEL	Sea anemone type 3 (BDS) potassium channel toxin family
C0HL52	BDS5B_RADCR	Sea anemone type 3 (BDS) potassium channel toxin family
C0HL53	BDS5C_RADCR	Sea anemone type 3 (BDS) potassium channel toxin family
C0HL54	BDS5D_RADCR	Sea anemone type 3 (BDS) potassium channel toxin family
C0HM26	HACT4_HELAT	
C0HM69	HACT2_HELAT	
C0HM70	SCRP1_HELAT	
C3TS04	STX72_ANEVI	Sea anemone short toxin (type III) family
C3TS06	STX74_ANEVI	Sea anemone short toxin (type III) family
C3TS07	STXA_ANEVI	Sea anemone short toxin (type III) family
C3TS08	STX71_ANEVI	Sea anemone short toxin (type III) family
C3TS10	STX73_ANEVI	Sea anemone short toxin (type III) family
D2KX90	NA21_CRYAD	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
D2KX91	NA2X_HETHE	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
D2KX92	NA21_THAAS	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
D5JX85	D5JX85_9CNID	Heme-copper respiratory oxidase family
D5JX86	D5JX86_9CNID	Heme-copper respiratory oxidase family
D6R268	D6R268_9CNID	Heme-copper respiratory oxidase family
D6R273	D6R273_9CNID	Heme-copper respiratory oxidase family
D6R277	D6R277_9CNID	Heme-copper respiratory oxidase family
D6R278	D6R278_9CNID	Heme-copper respiratory oxidase family
D6R279	D6R279_9CNID	Heme-copper respiratory oxidase family
D6R280	D6R280_9CNID	Heme-copper respiratory oxidase family
E2S061	K1A_STIGI	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
E2S062	K1A_STIHA	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
E2S063	K1A_STIME	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
E2S064	K1A_CRYAD	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
E2S065	K1A_HETHE	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
E2S066	K1A_THAAS	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
E3U958	E3U958_9CNID	Heme-copper respiratory oxidase family
E3U959	E3U959_PALCA	Heme-copper respiratory oxidase family
E3U962	E3U962_9CNID	Heme-copper respiratory oxidase family
E3U963	E3U963_9CNID	Heme-copper respiratory oxidase family
E3U970	E3U970_9CNID	Heme-copper respiratory oxidase family
E3U972	E3U972_9CNID	Heme-copper respiratory oxidase family
E3U973	E3U973_9CNID	Heme-copper respiratory oxidase family
E3U974	E3U974_9CNID	Heme-copper respiratory oxidase family
E3U975	E3U975_9CNID	Heme-copper respiratory oxidase family
E3U977	E3U977_9CNID	Heme-copper respiratory oxidase family
E6YBJ6	E6YBJ6_9CNID	Heme-copper respiratory oxidase family
E6YBK0	E6YBK0_9CNID	Heme-copper respiratory oxidase family
E6YBK1	E6YBK1_9CNID	Heme-copper respiratory oxidase family
G0W2H8	BDS3A_BUNGR	Sea anemone type 3 (BDS) potassium channel toxin family
G0W2I0	BDS3C_BUNGR	Sea anemone type 3 (BDS) potassium channel toxin family
P01528	NA12_ANESU	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P01529	NA15_ANESU	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P01530	NA1A_ANTXA	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P01532	NA1C_ANTEL	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P01533	NA11_ANESU	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P08380	4BD_HETMG	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
P09949	STX3_ENTQU	Sea anemone short toxin (type III) family
P0C1F0	NA11_ANTEL	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0C1F5	NA13_BUNGR	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0C1H0	ACTP1_ACTEQ	Actinoporin family, Sea anemone subfamily
P0C1H1	ACTPP_ACTEQ	Actinoporin family, Sea anemone subfamily
P0C1H2	ACTP3_ACTEQ	Actinoporin family, Sea anemone subfamily
P0C5F4	NA12A_ANTS7	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0C5G5	NA11_RADCR	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0C7P9	NA1B_BUNCN	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0C7Q0	NA1C3_BUNCN	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0CG44	UC1_URTCR	
P0CH42	NA1B_CONGI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DL52	NA124_ANEVI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DL53	NA125_ANEVI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DL54	NA126_ANEVI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DL86	VKT2H_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DL87	BDS5A_RADCR	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMJ2	VKT3C_ACTEQ	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DMJ3	VKTI1_ANTFU	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DMJ4	VKTI3_ANTFU	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DMX0	VKT3_ANTAF	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DMX3	ACTP_ENTQU	Actinoporin family, Sea anemone subfamily
P0DMX4	ACTP_STIME	Actinoporin family, Sea anemone subfamily
P0DMX6	BDS1_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMX7	BDS3_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMX8	BDS4_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY0	BDS6_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY1	BDS7_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY2	BDS8_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY4	BDSA_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY5	BDSB_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY6	BDSC_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY7	BDSD_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMY8	BDSE_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DMZ2	STX_DOFAR	Sea anemone short toxin (type III) family
P0DN00	K1B9A_ANEVI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P0DN01	K1B9B_ANEVI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P0DN02	K1B9C_ANEVI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P0DN03	K1B9D_ANEVI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P0DN04	K1BAA_ANEVI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P0DN05	K1BBA_ANEVI	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P0DN06	VKT1A_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN07	VKT4_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN08	VKT53_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN09	VKT5_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN10	VKT6_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN11	VKT7_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN12	VKT8_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN13	VKT9_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN14	VKTA_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN16	VKTC_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN17	VKTD_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN18	VKTE_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN19	VKTF_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DN20	VKTG_ANEVI	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DPE5	CJ1C1_EPIJA	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DPE6	CJTL8_EPIJA	
P0DPF1	K1HH_ANESU	Sea anemone type 1 potassium channel toxin family, Type 1a subfamily
P0DQJ2	ACR1_ACTTE	
P0DQN6	BDSG_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DQN7	BDSF_ANEVI	Sea anemone type 3 (BDS) potassium channel toxin family
P0DQQ8	BPP_CHIQU	Bradykinin-potentiating peptide family
P0DQQ9	VKT1_PALCA	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DQR0	VKT2_PALCA	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DQR1	VKT3_PALCA	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DQR6	SHKL1_NEMVE	
P0DQW8	CYT1_OLISA	
P0DQW9	CYT2_OLISA	
P0DRB9	IPTX2_TELST	
P0DRC0	AITX1_METSE	
P0DRC1	AITX2_METSE	
P0DRC3	AITX4_METSE	
P0DTR3	NA11_BUNCP	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P0DUG3	CRAS2_URTCR	Sea anemone type 3 (BDS) potassium channel toxin family
P0DUS1	HACT1_HELAT	
P0DV02	VKT2L_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DV03	VKT2M_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DV04	VKT2N_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DV05	VKT2O_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DV06	VKT2P_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P0DV07	VT2K_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P10280	VKT52_ANESU	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P11494	BDS1_ANESU	Sea anemone type 3 (BDS) potassium channel toxin family
P11495	K1B_METSE	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P14531	TXCL1_CALPA	Sea anemone sodium channel inhibitory toxin family
P16344	VKT2A_RADCR	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P16895	IELA_ANESU	
P30833	ACTPA_ACTTE	Actinoporin family, Sea anemone subfamily
P39088	20DD_HETMG	Actinoporin family, Sea anemone subfamily
P43318	PA2_RHONO	Phospholipase A2 family, Group III subfamily
P58305	TXGRX_BUNCN	
P58689	21DD_HETMG	Actinoporin family, Sea anemone subfamily
P58690	22DD_HETMG	Actinoporin family, Sea anemone subfamily
P59084	BDS2_ANESU	Sea anemone type 3 (BDS) potassium channel toxin family
P69251	MORN_HYDVU	
P69943	NA11_ANEER	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
P69944	AETX2_ANEER	
P69945	AETX3_ANEER	
P81129	VKT2_STIHL	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P81547	VKT1_ANTAF	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P81548	VKT2_ANTAF	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
P81897	K1B_ACTEQ	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
P84919	BDS2A_BUNCI	Sea anemone type 3 (BDS) potassium channel toxin family
P85512	NAHA1_PALCA	Glycosyl hydrolase 18 family, Chitinase class II subfamily
P86461	BDS16_BUNCN	Sea anemone type 3 (BDS) potassium channel toxin family
P86465	TX9A7_BUNCN	Sea anemone structural class 9a family
P86467	TX9AN_BUNCN	Sea anemone structural class 9a family
Q76CA0	NA2G3_STIGI	Sea anemone sodium channel inhibitory toxin family, Type II subfamily
Q76CA3	NA1G2_STIGI	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
Q9NJQ2	NA11_ACTEQ	Sea anemone sodium channel inhibitory toxin family, Type I subfamily
Q9TWF8	VKT3_ANESU	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
Q9TWF9	VKT2_ANESU	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
Q9TWG0	VKT1_ANESU	Venom Kunitz-type family, Sea anemone type 2 potassium channel toxin subfamily
Q9TWG1	K1B_ANESU	Sea anemone type 1 potassium channel toxin family, Type 1b subfamily
S4X158	S4X158_9CNID	Heme-copper respiratory oxidase family
T1RXY7	T1RXY7_9CNID	Heme-copper respiratory oxidase family
T1RYI3	T1RYI3_9CNID	Heme-copper respiratory oxidase family
T1YX97	T1YX97_9CNID	Heme-copper respiratory oxidase family
T1YXA2	T1YXA2_9CNID	Heme-copper respiratory oxidase family
T1YXA6	T1YXA6_9CNID	Heme-copper respiratory oxidase family
T1YY89	T1YY89_9CNID	Heme-copper respiratory oxidase family
T1YY93	T1YY93_9CNID	Heme-copper respiratory oxidase family
T1YYA2	T1YYA2_9CNID	Heme-copper respiratory oxidase family
T1YYZ4	T1YYZ4_9CNID	Heme-copper respiratory oxidase family
T1YZQ4	T1YZQ4_9CNID	Heme-copper respiratory oxidase family
T2ME76	T2ME76_HYDVU	SnRNP Sm proteins family
U5KAI3	U5KAI3_9CNID	Heme-copper respiratory oxidase family
U5KAM4	U5KAM4_9CNID	Heme-copper respiratory oxidase family
U5KAN3	U5KAN3_9CNID	Heme-copper respiratory oxidase family
U5KAN5	U5KAN5_9CNID	Heme-copper respiratory oxidase family
U5KAR4	U5KAR4_9CNID	Heme-copper respiratory oxidase family
U5KB48	U5KB48_9CNID	Heme-copper respiratory oxidase family
U5KB83	U5KB83_9CNID	Heme-copper respiratory oxidase family
U5KB97	U5KB97_9CNID	Heme-copper respiratory oxidase family
U5KBG9	U5KBG9_9CNID	Heme-copper respiratory oxidase family
U5KBL2	U5KBL2_9CNID	Heme-copper respiratory oxidase family
U6E6K7	U6E6K7_9CNID	Heme-copper respiratory oxidase family
U6E766	U6E766_9CNID	Heme-copper respiratory oxidase family
U6E7R0	U6E7R0_9CNID	Heme-copper respiratory oxidase family
U6E7R4	U6E7R4_9CNID	Heme-copper respiratory oxidase family
U6E833	U6E833_9CNID	Heme-copper respiratory oxidase family
V5NRQ9	V5NRQ9_ACRCE	Heme-copper respiratory oxidase family
X2J304	X2J304_9CNID	Heme-copper respiratory oxidase family
X2J311	X2J311_9CNID	Heme-copper respiratory oxidase family
X2J7F0	X2J7F0_9CNID	Heme-copper respiratory oxidase family
A0A023HQP0	A0A023HQP0_9CNID	Cytochrome c oxidase subunit 3 family
A0A023HR13	A0A023HR13_9CNID	
A0A023ULG8	A0A023ULG8_ASTMY	Complex I subunit 4L family
A0A023ULX3	A0A023ULX3_9CNID	Complex I subunit 4L family
A0A023UML2	A0A023UML2_9CNID	Complex I subunit 4L family
A0A023UN86	A0A023UN86_9CNID	Complex I subunit 4L family
A0A023UNP1	A0A023UNP1_9CNID	Complex I subunit 4L family
A0A059PVX4	A0A059PVX4_9CNID	Cytochrome c oxidase subunit 3 family
A0A059U7W6	A0A059U7W6_ACRTE	Alpha-carbonic anhydrase family
A0A059U816	A0A059U816_9CNID	Alpha-carbonic anhydrase family
A0A059UC04	A0A059UC04_COLNT	Alpha-carbonic anhydrase family
A0A059UC51	A0A059UC51_9CNID	Alpha-carbonic anhydrase family
